text,label
The economy is booming under the new government reforms.,REAL
NASA confirms water on the moon.,REAL
Aliens have landed in New York City and taken over the government.,FAKE
Scientists discover a new element that can cure all diseases.,FAKE
The president was seen at a secret base talking to aliens.,FAKE
Pfizer releases new drug that extends life by 50 years.,REAL
Fake news site claims world will end next month.,FAKE
Real news: Local community raises funds for new school.,REAL
Facebook to start charging users from next month - hoax,FAKE
Government announces new tax reforms for small businesses.,REAL
